command	numseqs	k	ss	time(s)
ctree	125	12	10000	57.27280569076538
ctree	125	14	500	61.239753007888794
ctree	125	14	750	61.77855563163757
ctree	125	14	1000	61.47853064537048
ctree	125	14	2500	61.54278564453125
ctree	125	14	5000	62.05571246147156
ctree	125	14	7500	62.14208197593689
ctree	125	14	10000	64.84595918655396
ctree	125	16	500	63.51915884017944
ctree	125	16	750	63.87443017959595
ctree	125	16	1000	63.58833050727844
ctree	125	16	2500	61.698851108551025
ctree	125	16	5000	62.71196532249451
ctree	125	16	7500	62.502859354019165
ctree	125	16	10000	62.59107971191406
ctree	125	18	500	65.70480728149414
ctree	125	18	750	64.37801909446716
ctree	125	18	1000	65.13502407073975
ctree	125	18	2500	64.26336812973022
ctree	125	18	5000	63.699016094207764
ctree	125	18	7500	63.448007345199585
ctree	125	18	10000	62.862443923950195
prep	150			31.420249700546265
ctree	150	6	500	27.41094207763672
ctree	150	6	750	27.82951021194458
ctree	150	6	1000	27.66376519203186
ctree	150	6	2500	27.69001293182373
ctree	150	6	5000	27.51292395591736
ctree	150	6	7500	27.965410232543945
ctree	150	6	10000	28.343529224395752
ctree	150	8	500	32.59001588821411
ctree	150	8	750	32.863311529159546
ctree	150	8	1000	32.64916658401489
ctree	150	8	2500	32.41676712036133
ctree	150	8	5000	33.45334005355835
ctree	150	8	7500	32.2418532371521
ctree	150	8	10000	32.95581364631653
ctree	150	10	500	48.732053995132446
ctree	150	10	750	48.86540412902832
ctree	150	10	1000	49.030433654785156
ctree	150	10	2500	49.494755029678345
ctree	150	10	5000	48.937520027160645
ctree	150	10	7500	47.976221799850464
ctree	150	10	10000	48.436317920684814
ctree	150	12	500	62.47169065475464
ctree	150	12	750	61.80034160614014
ctree	150	12	1000	61.62738656997681
ctree	150	12	2500	63.25357389450073
ctree	150	12	5000	61.96489858627319
ctree	150	12	7500	61.83899807929993
ctree	150	12	10000	61.3964307308197
ctree	150	14	500	67.07066607475281
ctree	150	14	750	68.53101658821106
ctree	150	14	1000	68.64526677131653
ctree	150	14	2500	68.57825040817261
ctree	150	14	5000	69.26825523376465
ctree	150	14	7500	70.35582709312439
ctree	150	14	10000	68.54522275924683
ctree	150	16	500	68.66807079315186
ctree	150	16	750	69.03745198249817
ctree	150	16	1000	68.6593565940857
ctree	150	16	2500	69.58186531066895
ctree	150	16	5000	69.93987107276917
ctree	150	16	7500	69.97135972976685
ctree	150	16	10000	70.65426087379456
ctree	150	18	500	70.39403915405273
ctree	150	18	750	69.08155965805054
ctree	150	18	1000	69.27588510513306
ctree	150	18	2500	69.26073813438416
ctree	150	18	5000	69.41102409362793
ctree	150	18	7500	70.2694821357727
ctree	150	18	10000	70.37346863746643
prep	175			33.93948221206665
ctree	175	6	500	32.59184455871582
ctree	175	6	750	33.94758987426758
ctree	175	6	1000	32.789857149124146
ctree	175	6	2500	33.6402473449707
ctree	175	6	5000	32.87633442878723
ctree	175	6	7500	33.522467613220215
ctree	175	6	10000	33.011494636535645
ctree	175	8	500	38.876219749450684
ctree	175	8	750	39.074368715286255
ctree	175	8	1000	38.362060546875
ctree	175	8	2500	39.63713192939758
ctree	175	8	5000	39.269776582717896
ctree	175	8	7500	38.2608962059021
ctree	175	8	10000	38.93502736091614
ctree	175	10	500	59.63134789466858
ctree	175	10	750	58.69391846656799
ctree	175	10	1000	58.75185704231262
ctree	175	10	2500	59.93318963050842
ctree	175	10	5000	57.76579713821411
ctree	175	10	7500	57.80358576774597
ctree	175	10	10000	57.834213733673096
ctree	175	12	500	74.96233129501343
ctree	175	12	750	74.8938090801239
ctree	175	12	1000	75.57951188087463
ctree	175	12	2500	75.4148621559143
ctree	175	12	5000	75.97299480438232
ctree	175	12	7500	75.65973401069641
ctree	175	12	10000	74.27288365364075
ctree	175	14	500	81.31756043434143
ctree	175	14	750	81.43208479881287
ctree	175	14	1000	82.09746170043945
ctree	175	14	2500	81.68135356903076
ctree	175	14	5000	82.17633938789368
ctree	175	14	7500	82.41209840774536
ctree	175	14	10000	81.68980002403259
ctree	175	16	500	82.99233818054199
ctree	175	16	750	82.91317510604858
ctree	175	16	1000	83.73086643218994
ctree	175	16	2500	84.1216721534729
ctree	175	16	5000	85.63578224182129
ctree	175	16	7500	84.02292990684509
ctree	175	16	10000	83.5327479839325
ctree	175	18	500	82.96391248703003
ctree	175	18	750	84.87965989112854
ctree	175	18	1000	84.34295606613159
ctree	175	18	2500	84.86762428283691
ctree	175	18	5000	84.21502041816711
